,Title,Price,Rating,Review
53,Casio Analog White Dial Men's Watch-EFV-100D-7AVUDF,5247.0,4.5,85.0
54,IK COLOURING Bestn Mens Luxury Skeleton Automatic Mechanical Wrist Watches Leather Moon Phrase Luminous Hands Self-Wind Watch,9999.0,4.3,785.0
55,"Noise Newly Launched Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Jet Black)",1199.0,4.0,113211.0
56,SKMEI Men's Watch New Wheels Rolling Creative Fashion Che Youhui League Fans Butterfly Double Snap Gift Wristwatch - 1990,1999.0,4.6,25.0
57,Fastrack Black Dial Analog Watch for Unisex -38003PP24,647.0,2.0,5.0
58,Fossil Bannon Analog Green Dial Men's Watch-BQ2493,10497.0,4.3,114.0
59,"Noise Force Rugged & Sporty 1.32"" Bluetooth Calling Smart Watch, 550 NITS, 7 Days Battery, AI Voice Assistance, Smart Watch for Men (Jet Black)",1799.0,3.9,4864.0
60,Fastrack Black Dial Analog Watch for Unisex -38076PP01W,2195.0,4.1,6.0
61,Fossil Fenmore Midsize Analog Black Dial Men's Watch-BQ2453,8747.0,4.2,2253.0
62,Fossil Grant Sport Analog Blue Dial Men's Watch-FS5237,8121.0,4.3,1634.0
63,Fastrack Analog Silver Dial Men's Watch-3291SM02/NR3291SM02,1275.0,4.2,59.0
64,"boAt Lunar Orb Smart Watch with 1.45"" AMOLED Display, BT Calling, DIY Watch Face Studio, Coins, Crest App Health Ecosystem, Live Cricket&Football Scores, IP67(Steel Black)",2799.0,3.9,33899.0
65,Titan Gents Karishma Analog Blue Dial Men's Watch NM1825KM01/NN1825KM01/NP1825KM01,3515.0,3.7,89.0
66,"boAt Wave Style Call Smart Watch with Advanced BT Calling Chip,DIY Watch Face Studio, Coins, 1.69"" HD Display, Health Ecosystem, Live Cricket Scores, Quick Replies, HR & SpO2(Active Black)",1099.0,3.9,9544.0
67,"Noise Newly Launched ColorFit Pulse 3 with 1.96"" Biggest Display Bluetooth Calling Smart Watch, Premium Build, Auto Sport Detection & 170+ Watch Faces Smartwatch for Men & Women (Jet Black)",1399.0,4.1,49235.0
72,Fossil Bannon Analog Green Dial Men's Watch-BQ2492,9995.0,4.2,295.0
73,Shocknshop Analog Digital Sports Multi Functional Dual Time Black Dial Watch for Mens Boys -SK04,449.0,3.8,384.0
74,Titan Karishma Analog Silver Dial Men's Watch-NL1774BM01/NP1774BM01,2836.0,4.3,588.0
75,Casio Enticer Analog White Dial Men MTP-V300L-7AUDF ( A1177 ),3795.0,4.2,1261.0
76,Fossil Leather Analog Blue Dial Men's Watch-Fs5661,4997.0,4.4,2367.0
77,Casio Leather Edifice Chronograph White Dial Men's Watch-Efr-526L-7Avudf (Ex097),7795.0,4.4,402.0
78,"Fire-Boltt Newly Launched Quest Smartwatch 1.39"" Full Touch GPS Tracking Smart Watch Bluetooth Calling, 100+ Sports Modes, 360 * 360 Pixel High Resolution, Health Suite & Rugged Outdoor Built",1999.0,4.2,1005.0
79,Titan All Black Analog Dial Men's Watch-NN1767NM01,3812.0,4.2,190.0
80,"Fire-Boltt Solace Luxury Stainless Steel Smart Watch, 1.32"" (33.5mm) Display 360 * 360 px high Resolution with 60Hz Refresh Rate, Bluetooth Calling & 360 Health Monitoring (Gold)",1499.0,4.3,2270.0
81,"Matrix Blue, Black & Silver Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",329.0,3.6,1346.0
82,Titan Neo Analog Blue Dial Men's Watch-NL1734KM02/NP1734KM02/NQ1734KM02,7495.0,4.3,497.0
83,Fossil Analog Black men Watch FS5164,7547.0,4.4,2244.0
84,Fossil Analog Black Dial Men's Watch - FS5437,12495.0,4.4,2246.0
85,CITIZEN Analog Blue Dial Men's Watch-NJ0151-88M,31410.0,4.7,384.0
86,Armani Exchange Outerbanks Analog Black Dial Men's Watch-AX2094,11097.0,4.5,188.0
87,"Fire-Boltt Royale Luxury Stainless Steel Smart Watch 1.43” AMOLED Display, Always On Display, 750 NITS Peak Brightness 466 * 466 px Resolution. Bluetooth Calling, IP67, 75Hz Refresh Rate (Blue)",4999.0,4.5,385.0
88,Fossil Analog Black Dial Men's Watch-FS5384,7247.0,4.3,1423.0
89,Armani Exchange Analog Black Dial Men's Watch-AX2600,8997.0,4.2,279.0
90,Timex Analog Beige Dial Men's Watch-TW000U930,1747.0,4.2,1834.0
91,Titan Black Dial Analog Watch For Men -NR1805NL01,4967.0,4.4,391.0
92,LOUIS DEVIN Mesh Steel Chain Analog Wrist Watch for Men (LD-G042),399.0,3.9,858.0
93,Titan Blue Dial Analog Watch For Men -NR1769SM01,4625.0,4.3,278.0
94,"Titan Crest Premium Smart Watch|1.43"" AMOLED Display with AOD|466x466 Pixel Resolution|Functional Crown|SingleSync BT Calling|Advanced Chipset|100+ Sports Modes & WatchfacesIP68 Smartwatch",7995.0,3.8,10.0
95,Fastrack Analog Men's Watch,635.0,4.3,2304.0
96,Titan Analog Black Dial Men's Watch-1805QM04/NR1805QM04,5105.0,4.1,80.0
97,Acnos® Premium Brand Arrow Blk Arrow Boys Mens Black Wrist Watch for Boys Analog Watch for Men Pack of 1,310.0,4.1,893.0
98,Fastrack Fundamentals Analog Blue Dial Men's Watch-NN38051SM03/NR38051SM03,1255.0,4.2,1407.0
99,Casio Edifice Analog-Digital Black Dial Men ECB-900DB-1BDR ( EX500 ),16995.0,4.5,367.0
100,"Fastrack FS1 Pro Smartwatch|World’s First 1.96"" Super AMOLED Arched Display with Highest Resolution of 410x502|SingleSync BT Calling|NitroFast Charging|110+ Sports Modes|200+ Watchfaces",2799.0,4.0,1535.0
101,Timex Analog White Dial Men's Watch-TW00ZR260E,957.0,4.0,1157.0
102,"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud Based Watch Faces (Black)",1099.0,4.1,56189.0
103,GUESS White Dial Men Watch - U0291G4M,9597.0,4.3,32.0
108,Titan Blue Dial Analog Watch for Men -1805QM01,5596.0,4.5,116.0
109,Tommy Hilfiger Analog Blue Dial Men's Watch-TH1791399/NETH1791399,15000.0,4.3,52.0
110,Fastrack Mean Machines Analog-Digital Black Dial Men's Watch-NN38055PP01/NR38055PP01,2770.0,4.3,32.0
111,Fastrack Black Dial Analog Watch For Men -NR38051SM07,1395.0,4.3,853.0
112,"Fire-Boltt Solace Luxury Stainless Steel Smart Watch, 1.32"" (33.5mm) Display 360 * 360 px high Resolution with 60Hz Refresh Rate, Bluetooth Calling & 360 Health Monitoring (Gold Silver)",1499.0,4.3,2270.0
113,Seiko Analog Blue Dial Men's Watch-SNKP17K1,14850.0,4.5,205.0
114,"Fire-Boltt Solace Luxury Stainless Steel Smart Watch, 1.32"" (33.5mm) Display 360 * 360 px high Resolution with 60Hz Refresh Rate, Bluetooth Calling & 360 Health Monitoring (Gold)",1499.0,4.3,2270.0
115,LOUIS DEVIN WT030 Leather Strap Analog Wrist Watch for Men,379.0,3.7,2559.0
116,"Fastrack FS1 Pro Smartwatch|World's First 1.96"" Super AMOLED Arched Display with Highest Resolution of 410x502|SingleSync BT Calling|NitroFast Charging|110+ Sports Modes|200+ Watchfaces - Wine Red",2799.0,4.0,1535.0
117,Titan Lagan Collection Analog Blue Dial Men's Watch-NN1713WL01/NR1713WL01,2695.0,4.4,85.0
118,Fastrack Casual Analog Black Dial Men's Watch-3255NM01/NR3255NM01,1795.0,4.2,137.0
119,"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Pitch Black)",1699.0,4.1,144680.0
120,Fastrack Black Dial Analog Watch for Unisex -NR38003PP13W,740.0,4.2,3449.0
121,Fastrack Analog Black Dial Men's Watch-NL3147KM01/NN3147KM01/NP3147KM01,4395.0,4.3,2147.0
122,Fastrack Orange Dial Analog Watch For Men -NR38035SP03,3220.0,4.3,813.0
123,Casio Analog Black Dial Men's Watch-MTP-V002L-1B3UDF,1796.0,4.2,167.0
124,"Noise Halo Plus Elite Edition Smartwatch with 1.46"" Super AMOLED Display, Stainless Steel Finish Metallic Straps, 4-Stage Sleep Tracker, Smart Watch for Men and Women (Elite Blue",3798.0,3.9,5547.0
125,Fossil Autocross Analog Blue Dial Men's Watch-BQ2552,9495.0,4.0,71.0
126,Titan Analog Men's Watch (Dial Colored Strap),2735.0,4.2,1048.0
127,Titan Analog OffWhite Dial Men's Watch NM1712YM02 / NL1712YM02,2145.0,4.2,2239.0
128,Fossil Analog Black Dial Men's Watch - FS5437,12495.0,4.4,2246.0
129,Emporio Armani Aviator Analog Black Dial Men's Watch-AR11143,13197.0,4.2,42.0
130,IIK COLLECTION Watches for Men Round Numerical Dial Men Watch with Silicon Strap Long Battery Life Stainless Steel Bracelet Black Chain with Adjustable Flexible Silicon Strap Watches for Boys.,399.0,3.1,15.0
131,"Fire-Boltt Gladiator 1.96"" Biggest Display Luxury Stainless Steel Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, 24/7 Heart Rate Tracking (Black)",1999.0,4.0,24441.0
132,"Fire-Boltt Royale Luxury Stainless Steel Smart Watch 1.43” AMOLED Display, Always On Display, 750 NITS Peak Brightness 466 * 466 px Resolution. Bluetooth Calling, IP67, 75Hz Refresh Rate (Blue)",4999.0,4.5,385.0
133,Seiko Analog Blue Dial Men's Watch-SSK003K1,35799.0,4.6,541.0
134,NIBOSI Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,2999.0,3.8,434.0
135,"Fire-Boltt Newly Launched Quest Smartwatch 1.39"" Full Touch GPS Tracking Smart Watch Bluetooth Calling, 100+ Sports Modes, 360 * 360 Pixel High Resolution, Health Suite & Rugged Outdoor Built",1999.0,4.2,1005.0
136,"Fire-Boltt Newly Launched Vogue Large 2.05"" Display Smart Watch, Always On Display, Wireless Charging, App Based GPS with Bluetooth Calling & 500+ Watch Faces (Chain Black)",1999.0,4.0,49703.0
137,Sonata Analog White Dial Men's Watch NM7954YM01W/NN7954YM01W,1199.0,4.2,2210.0
138,Casio Analog Black Dial Men's Watch-MTP-V005D-1B5UDF,1946.0,4.3,248.0
139,Fossil Machine Analog White Dial Men's Watch-FS5921,5798.0,4.5,65.0
140,SKMEI Men's Digital Sports Watch 50m Waterproof LED Military Multifunction Smart Watch Stopwatch Countdown Auto Date Alarm,699.0,4.2,1772.0
141,Fastrack Blue Dial Analog Watch For Men -NR38051SM05,1595.0,4.2,312.0
142,Fastrack Analog Watch For Men -NR38040PP01,1185.0,4.2,1014.0
143,Titan Octane Analog Silver Dial Men's Watch-NL1650BM03/NP1650BM03,3445.0,4.3,1199.0
144,"Fire-Boltt Phoenix Pro 1.39"" Bluetooth Calling Smartwatch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Silver Grey)",1349.0,4.2,123761.0
145,Timex Analog Black Dial Men's Watch-TWHG35SMU07,1857.0,4.3,358.0
146,Titan Silver White Dial Analog Watch For Men -NR90102SL03,9695.0,4.4,291.0
147,"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud Based Watch Faces (Black)",1099.0,4.1,56189.0
148,Fossil Chronograph Black Dial Men's Watch-BQ2364,7497.0,4.2,2253.0
149,Titan Black Dial Analog Watch For Men -NR1578SM04,1995.0,4.2,866.0
150,Fossil Stainless Steel Analog Watch,10497.0,4.4,439.0
151,Shocknshop Analogue Stylish Square Dial Date Display Stainless Steel Mens Watch -WCH85,425.0,4.2,57.0
152,"boAt Wave Style Smart Watch with 1.69"" Square HD Display, DIY Watch Face Studio, Coins,HR & SpO2 Monitoring,7 Days Battery Life, Crest App Health Ecosystem, Multiple Sports Modes(Active Black)",1399.0,3.9,9544.0
153,Casio Stainless Steel Vintage Digital Multicolor Dial Unisex A168Wa-1Wdf ( D131 ),2695.0,4.5,2626.0
154,SWISSTYLE Black Chain Chrono Look Analog Watch for Men,419.0,3.5,4948.0
155,Fossil Bannon Analog Black Dial Men's Watch-BQ2494,10146.0,4.1,41.0
156,Sonata Yuva Analog Black Dial Men's Watch-NL7924SL04/NP7924SL04,985.0,4.1,1991.0
157,"Fire-Boltt Quantum Luxury Stainless Steel Design 1.28"" Bluetooth Calling Smartwatch with High Resolution of 240 * 240 Px & TWS Connection, SpO2 Tracking with 100 Sports Modes (Green)",1499.0,4.0,7523.0
158,Titan Brown Dial Analog Watch For Men -NR1584SL04,2583.0,4.3,1045.0
159,NAVIFORCE Men's Military Digital Watches Analog Quartz Waterproof Watch Sport Multifunctional Leather Wristwatch,2799.0,4.4,917.0
160,Acnos® Premium Brand Digital 4 Colours Square Dial Unisex Wrist Watch for Men Women Pack of 1 (WR),299.0,3.8,719.0
161,Titan Anthracite Dial Analog Watch For Men -NR1733KM01,4995.0,4.3,756.0
162,Casio Enticer Analog Black Dial Men MTP-1374HD-2AVIF ( A1646 ),4796.0,4.4,1497.0
163,"Noise Newly Launched Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Deep Wine)",1199.0,4.0,113211.0
164,Casio Enticer Analog White Dial Men MTP-V300L-7AUDF ( A1177 ),3795.0,4.2,1261.0
165,"SKMEI Digital Watch Men's,Men's Ultra-Thin Digital Sports Watch LED Screen Super Waterproof Watch Men's Casual Stopwatch Alarm Clock Countdown Military Watch - 1888",1599.0,3.8,36.0
166,"Fastrack FS1 Pro Smartwatch|World's First 1.96"" Super AMOLED Arched Display with Highest Resolution of 410x502|SingleSync BT Calling|NitroFast Charging|110+ Sports Modes|200+ Watchfaces - Wine Red",2799.0,4.0,1535.0
167,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Lightning Black)",1299.0,3.9,33899.0
168,Michael Kors Dylan Black Watch MK8184,13197.0,4.2,445.0
169,Fossil Gen 6 Smartwatch Digital Black Dial Men's Watch-FTW4060,12497.0,3.8,1840.0
170,Sylvi Imperial Casual Fashion Premium Water-Resistant Watch for Men with Date Display,1497.0,3.5,77.0
171,Sonata Analog White Dial Men's Watch -NJ7987SM03W,675.0,4.1,2294.0
172,Acnos Brand Digital 4 Colours Vintage Square Dial Unisex WR70ist Watch for Men Women Pack of 1 (WR70),240.0,3.9,255.0
173,Casio Analog Black Dial Men's Watch-MTP-V002L-1B3UDF,1796.0,4.2,167.0
174,Sylvi Iconic Analogue-Digital Luxury Black Dial Leather Strap Multi-Functional Casual Business Calendar Wrist Watch for Men and Boys,921.0,3.9,1342.0
175,Fossil Analog Black Dial Men's Watch - FS5437,12495.0,4.4,2246.0
176,Seiko Analog Blue Dial Men's Watch-SNKP17K1,14850.0,4.5,205.0
177,Fastrack Casual Analog White Dial Men's Watch NN3121SM01 / NL3121SM01/NP3121SM01,1326.0,4.2,4494.0
178,Titan Analog Gold Dial Men's Watch NM1648YM02/NN1648YM02/NP1648YM02,1625.0,4.3,625.0
179,Matrix Men's Signature Two Hands & Cut Glass with Leather Strap Analog Watch ( Black / White Dial ),264.0,3.7,321.0
180,Sonata Analog watch For Men-NR77082SM01,949.0,4.3,865.0
181,Giffemans Crystal Watch Fashion Full Bling Iced Out Diamond Quartz Analog Watch Men Women Hip Hop Big Dial Square Wristwatch,399.0,1.0,2.0
182,Titan Blue Dial Analog Watch for Men -1805QM01,5596.0,4.5,116.0
183,Titan Analog Silver Dial Men's Watch-NL1650YM05/NL1650YM05,2425.0,4.3,437.0
184,Titan Lagan Collection Analog Blue Dial Men's Watch-NN1713WL01/NR1713WL01,2695.0,4.4,85.0
185,Fossil Bannon Analog Green Dial Men's Watch-BQ2493,10497.0,4.3,114.0
186,"Noise Newly Launched Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Jet Black)",1199.0,4.0,113211.0
187,Relish Analogue Men's Watch (Black Dial & Strap),289.0,3.5,1758.0
188,TIMEWEAR Analog Minute Track Dial Stainless Steel Chain Watch for Men,249.0,3.9,1085.0
189,Casio Analog Black Dial Men's Watch-MTP-VD01D-1E2VUDF (A1734),2995.0,4.4,954.0
190,Matrix Swap Analog Black Dial Watch with Interchangeable Straps for Men & Boys,399.0,4.1,145.0
191,Sonata Analog White Dial Men's Watch-7135SL03/NP7135SL03,925.0,4.2,825.0
192,"Noise Halo Plus Elite Edition Smartwatch with 1.46"" Super AMOLED Display, Stainless Steel Finish Metallic Straps, 4-Stage Sleep Tracker, Smart Watch for Men and Women (Elite Blue",3798.0,3.9,5547.0
193,Fossil Stainless Steel Analog Watch,10497.0,4.4,439.0
194,Casio Edifice Chronograph Black Dial Men's Watch - EFR-526L-1AVUDF (EX096),7795.0,4.3,669.0
195,Titan All Black Analog Dial Men's Watch-NN1767NM01,3812.0,4.2,190.0
196,REDUX Analog Boy's & Men's Watch (Blue Dial Blue Colored Strap),274.0,3.6,23556.0
197,"Carlington Analog-Digital Sports Watch: Chronograph, Dual Time, Alarm, Stopwatch, Water-Resistant, Shock-Resistant, Back Light Display- The Perfect Watch for Men and Boys - CT3377",899.0,4.1,33.0
198,Fastrack Stunners 4.0 Analog Watch,1915.0,3.9,35.0
199,Casio Enticer Analog Blue Dial Men MTP-VD01D-2BVUDF (A1363),2995.0,4.4,1047.0
200,Fastrack Analog Black Dial Men's Watch-3287QM02/NR3287QM02,3220.0,4.6,54.0
201,Fastrack Analog Black Mens Watch 3229SP01,1395.0,4.1,382.0
202,"beatXP Marv Neo 1.85” (4.6 cm) Display, Bluetooth Calling Smart Watch, Smart AI Voice Assistant, 100+ Sports Modes, Heart & SpO2 Monitoring, IP68, Fast Charging (Blue)",999.0,3.9,12071.0
203,Casio Men's Watch W-218H,1695.0,4.6,4605.0
204,"TIMEX Multifunction Men Analog Dial Coloured Quartz Watch, Round Dial with 30 mm Case Width",2517.0,3.9,3.0
205,NIBOSI Watch for Men Fashion Business Men Watches Ultra-Thin Waterproof Chronograph Quartz Watches with Stainless Steel Band,2999.0,3.8,605.0
206,BENYAR Wrist Watches for Men Leather Strap Analog Chronograph Fashion Business Sport Design Mens Watch 30M Waterproof Stylish Elegant Gifts for Men,2890.0,4.0,190.0
207,"beatXP Flare Pro 1.39” HD Display Bluetooth Calling Smart Watch, 100+ Sports Modes, Heart Rate Monitoring, SpO2, AI Voice Assistant, IP68 - Black",999.0,3.7,2122.0
208,Armani Exchange Analog Black Dial Men's Watch-AX2872,9995.0,5.0,2.0
209,"TIMEWEAR Analog New Track Number Dial, Day Date Functioning, Silicone Strap Watch for Men",329.0,4.1,20.0
210,SWADESI STUFF Multi Dial Chronograph Luxury Quartz Analog Watch for Men,399.0,3.6,303.0
211,Fastrack Grey Dial Analog Watch for Men -NR3291SM01,1275.0,4.2,31.0
212,"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution",1099.0,4.2,71228.0
213,Titan Analog Men Watch,6795.0,3.5,5.0
214,Titan Autumn-Winter 19 Analog White Dial Men's Watch NM1585SL07/NN1585SL07/NP1585SL07,2545.0,4.3,654.0
215,Timex Analog Blue Dial Men's Watch-TWHG35SMU04,1977.0,4.0,50.0
216,Titan Analog White Dial Men's Watch-NL1639SL03/NN1639SL03,1995.0,4.2,1096.0
217,Sonata Analog Multicolor Small Dial Men's Watch -NM7987SL01W / NL7987SL01W,675.0,3.9,4484.0
218,"Sylvi Analogue-Digital Luxury Black Dial Leather Strap Multi-Functional Casual Business Calendar Wrist Watch for Men and Boys, Pack of 1 - SY3022",917.0,3.9,2303.0
219,Fastrack Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02,1436.0,4.2,3834.0
220,Tommy Hilfiger Analog Men's Watch (White Dial Colored Strap),9150.0,4.0,40.0
221,"Fire-Boltt Talk 2 Pro Ultra 1.39"" Round Display Stainless Steel Luxury Smart Watch, Bluetooth Calling & 360 Health Monitoring, 123 Sports Modes, Inbuilt Voice Assistant (Gold)",1799.0,4.2,54524.0
222,Matrix Day & Date Analog Men's Watch,309.0,3.6,3767.0
223,Fossil Analog Black Dial Men's Watch - FS5437,12495.0,4.4,2246.0
224,Fastrack Casual Analog Grey Dial Men's Watch-NL3121SL02/NP3121SL02,1420.0,4.2,1896.0
225,"Fire-Boltt Avalanche Luxury Stainless Steel Smart Watch, Bluetooth Calling with 1.28” HD display, 2 Button Pushers, Voice Assistance, Multiple Sports Modes, Health Suite, IP67 resistance. (Multicolor)",1499.0,4.2,598.0
226,Casio G-Shock Digital Black Dial Men GBD-200-1DR (G1146),12995.0,4.5,178.0
227,"Fire-Boltt Talk 2 Pro Ultra 1.39"" Round Display Stainless Steel Luxury Smart Watch, Bluetooth Calling & 360 Health Monitoring, 123 Sports Modes, Inbuilt Voice Assistant (Silver)",1799.0,4.2,54524.0
