,Title,Price,Rating,Review
228,"Cultsport Ace X 1.96"" AMOLED Smartwatch, Premium Metallic Build Smartwatch for Men, Always On Display, Bluetooth Calling, Live Cricket Score, Health Tracking, Functional Crown",3499.0,4.3,588.0
229,Acnos® Premium Analog Multi-Colour Dial Men's Watch - AN-COMBO-01-02-MINO,429.0,4.1,323.0
230,Sonata Analog Champagne Dial Men's Watch-NN77049YM01/NP77049YM01,849.0,4.2,3965.0
231,Armani Exchange Cayde Analog Black Dial Men's Watch-AX2701,13995.0,4.3,339.0
232,Casio Enticer Analog Black Dial Men MTP-1374HD-2AVIF ( A1646 ),4796.0,4.4,1497.0
233,Casio Analog Black Dial Men's Watch-EFR-571D-1AVUDF,9495.0,4.2,27.0
234,Sonata Black Dial Analog Watch for Men-NR77082SL08W,1049.0,4.0,64.0
235,"Cultsport Ranger Xr 1.43"" Amoled Outdoor Rugged Smartwatch for Men, 850 Nits, Always On Display, Bluetooth Calling, 420Mah Battery, Sports Recognition, Health Tracking, Round Digital Watch, Black",3499.0,4.1,971.0
236,Fossil Machine Analog Black Dial Men's Watch-FS4656,13495.0,4.0,632.0
237,"Noise Newly Launched Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Deep Wine)",1199.0,4.0,113211.0
238,Fastrack Economy Analog Black Dial Men's Watch-NM3039SL02 / NL3039SL02/NP3039SL02,1495.0,4.1,1119.0
239,SWISSTYLE Two Tone Chrono Look Analog Stainless Steel Watch-SS-GR6612 For Men,419.0,3.4,4310.0
240,"Fire-Boltt Newly Launched Vogue Large 2.05"" Display Smart Watch, Always On Display, Wireless Charging, App Based GPS with Bluetooth Calling & 500+ Watch Faces (Steel Silver)",1999.0,4.0,49703.0
241,Titan Analog Gold Dial Men's Watch-NL1715YM02/NR1715YM02,1931.0,4.2,652.0
242,Titan Neo Analog Grey Dial Men's Watch-NM1806KM01 / NL1806KM01/NR1806KM01,4036.0,4.2,207.0
243,"Titan Neo Men’s Designer Watch - Quartz, Water Resistant, Leather/Stainless Steel Strap",2475.0,4.2,3062.0
244,"boAt Wave Style Smart Watch with 1.69"" Square HD Display, DIY Watch Face Studio, Coins,HR & SpO2 Monitoring,7 Days Battery Life, Crest App Health Ecosystem, Multiple Sports Modes(Deep Blue)",999.0,3.9,9544.0
245,Giordano Analogue Blue Dial Men's Watch,6153.0,3.4,3.0
246,TIMEWEAR Analogue - Digital Men's Watch (Black Dial Black Colored Strap),549.0,3.7,21437.0
247,"Giordano Wired Collection Analog Watch for Man with Color Variant, Wrist Watches for Men, with Classy Wired Mesh Band - A1051",1999.0,4.0,235.0
248,Fossil Stainless Steel Analog Watch,10497.0,4.4,439.0
249,Fastrack Analog Black Dial Men's Watch-NL3147KM01/NN3147KM01/NP3147KM01,4395.0,4.3,2147.0
250,Titan Octane Analog Silver Dial Men's Watch-NL1650BM03/NP1650BM03,3445.0,4.3,1199.0
251,"Noise Twist Bluetooth Calling Smart Watch with 1.38"" TFT Biggest Display, Up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Midnight Blue)",1399.0,4.0,12560.0
252,Titan Karishma Analog Black Dial Men's Watch-NL1636SM01,2775.0,4.1,1607.0
253,"TIMEX 3 Hands Men Analog Black Dial Coloured Quartz Watch, Round Dial with 40 mm Case Width - TWTG73SMU05",2371.0,4.4,20.0
254,Acnos® Premium Analog Multi-Colour Dial Men's Watch - AN-COMBO-01-02-MINO,429.0,4.1,323.0
255,Sonata Volt+ Analog Black Dial Men's Watch NM77086PL01 / NL77086PL01/NP77086PL01W,949.0,4.2,820.0
256,Seiko Analog Green Dial Men's Watch-SRPD63K1,22375.0,4.6,3561.0
258,"Fire-Boltt Dagger Luxe 1.43"" Super AMOLED Display Luxury Smartwatch, Stainless Steel Build, 600 NITS Brightness with Single BT Bluetooth Connection, IP68, Dual Button Technology (Stainless Silver)",2499.0,4.3,7381.0
260,Titan Analog Gold Dial Men's Watch-NL1650YM04/NP1650YM04,2711.0,4.4,1428.0
261,Armani Exchange Cayde Analog Black Dial Men's Watch-AX2701,13995.0,4.3,339.0
264,Fastrack Analog Green Dial Men's Casual Watch,795.0,3.3,3.0
265,Disel Analog Black Dial Men's Watch-DZ7395,15699.0,1.0,2.0
275,Sonata Analog Multicolor Small Dial Men's Watch -NM7987SL01W / NL7987SL01W,675.0,3.9,4484.0
276,Fastrack Casual Analog Black Dial Men's Watch NM3123SM01/NN3123SM01/NP3123SM01,1595.0,4.1,1448.0
277,Fastrack Black Dial Analog Watch For Men -NR38045PP03,2295.0,4.3,2529.0
285,Titan Regalia Chronograph Silver Dial Men's Watch-NN9308BM01/NP9308BM01,10494.0,4.3,1070.0
